position_id,ticker,contract_symbol,entry_timestamp_et,exit_timestamp_et,entry_trade_date_et,exit_trade_date_et,entry_option_price,exit_option_price,contracts,allocated_cash,proceeds,pnl,return_pct,exit_reason,alpaca_entry_order_id,alpaca_exit_order_id
AVGO_20260512T100853,AVGO,AVGO260612C00425000,2026-05-12T10:08:53.681217-04:00,2026-05-12T15:54:31.789727-04:00,2026-05-12,2026-05-12,28.95,24.55,1,2895.0,2455.0,-440.0,-15.198618307426598,stop_loss_hit_at_scan,38db7217-e7e8-4357-a32f-a9fbd6afdc57,79d5f44f-d6d5-4507-8c98-ff437fee09b0
INTC_20260514T145002,INTC,INTC260618C00115000,2026-05-14T14:50:02.003933-04:00,2026-05-15T10:17:26.983517-04:00,2026-05-14,2026-05-15,13.3,8.75,3,3990.0,2625.0,-1365.0,-34.21052631578947,stop_loss_hit_at_scan,1243471d-0d2b-4531-b787-bbc8875df658,5c375fa6-c3f6-4b83-a5eb-05811b36bc8e
SNPS_20260513T102316,SNPS,SNPS260618C00490000,2026-05-13T10:23:16.811406-04:00,2026-05-15T10:27:35.870371-04:00,2026-05-13,2026-05-15,46.2,39.9,1,4620.0,3990.0,-630.0,-13.636363636363637,stop_loss_hit_at_scan,8bbe1576-32e5-4cb1-863a-6aed57d594fa,8fa09024-4872-4b72-ba9c-0bcfcecdc473
INTC_20260518T110820,INTC,INTC260618C00110000,2026-05-18T11:08:20.679676-04:00,2026-05-18T13:00:49.767100-04:00,2026-05-18,2026-05-18,9.4,8.65,5,4700.0,4325.0,-375.0,-7.97872340425532,stop_loss_hit_at_scan,66a4794c-2ceb-4b7d-b398-79b62129fb14,d0b0fc70-7e01-4e32-98de-5148e23c2d0f
PANW_20260519T100901,PANW,PANW260618C00250000,2026-05-19T10:09:01.081129-04:00,2026-05-20T09:56:30.679364-04:00,2026-05-19,2026-05-20,16.05,13.65,3,4815.0,4095.0,-720.0,-14.95327102803738,stop_loss_hit_at_scan,8567becd-cf83-4697-a41b-74ad47cad857,5abeb2ab-fddd-4ee5-b52a-fdeb6b88520f
TTWO_20260520T111903,TTWO,TTWO260717C00240000,2026-05-20T11:19:03.434065-04:00,2026-05-21T13:57:44.888649-04:00,2026-05-20,2026-05-21,17.0,19.0,2,3400.0,3800.0,400.0,11.76470588235294,take_profit_day1_hit_at_scan,3e3c8dfc-2286-4e36-9ffb-4cf8435d27c4,8a309bc9-b19c-4144-9daf-a4e3261cc6c0
SBUX_20260522T144854,SBUX,SBUX260717C00105000,2026-05-22T14:48:54.200962-04:00,2026-05-26T10:59:42.328626-04:00,2026-05-22,2026-05-26,3.75,3.35,13,4875.0,4355.0,-520.0,-10.666666666666668,stop_loss_hit_at_scan,25ae4817-4805-468f-b6e2-b9bbabb07100,adda5fbd-15fc-422c-9b62-83850aec48a0
INTC_20260521T144831,INTC,INTC260626C00117000,2026-05-21T14:48:31.785006-04:00,2026-05-27T09:33:35.120835-04:00,2026-05-21,2026-05-27,13.45,15.15,3,4035.0,4545.0,510.0,12.639405204460964,time_exit_at_4pm_scan,ec033fb0-02a9-46ac-9e86-fad49d5b5473,b44a5668-d787-4b80-917d-cff951dc8f5f
PANW_20260526T111209,PANW,PANW260717C00260000,2026-05-26T11:12:09.227523-04:00,2026-05-27T10:10:15.784488-04:00,2026-05-26,2026-05-27,20.45,14.8,2,4090.0,2960.0,-1130.0,-27.628361858190708,stop_loss_hit_at_scan,f018255d-8911-447e-8321-8e1f5bf59752,844180c3-400a-4c6b-9f73-b3c1b512e866
AVGO_20260528T100123,AVGO,AVGO260717C00420000,2026-05-28T10:01:23.351204-04:00,2026-05-29T10:09:25.831795-04:00,2026-05-28,2026-05-29,33.4,47.35,1,3340.0,4735.0,1395.0,41.76646706586826,take_profit_day1_hit_at_scan,a7b7954f-7027-4fe6-bc6b-040c4d748493,8e7190d6-4868-47fe-a8f2-905a885d34d4
MRVL_20260529T102144,MRVL,MRVL260717C00200000,2026-05-29T10:21:44.021302-04:00,2026-06-01T11:05:34.425918-04:00,2026-05-29,2026-06-01,26.0,31.75,1,2600.0,3175.0,575.0,22.115384615384613,take_profit_day1_hit_at_scan,ee94ce56-1778-4d77-8317-e6df9525ca15,9e06dd09-a5ff-4c5e-95d4-d4be59a16dc8
CHTR_20260601T111140,CHTR,CHTR260717C00150000,2026-06-01T11:11:40.991182-04:00,2026-06-01T11:33:00.369304-04:00,2026-06-01,2026-06-01,8.8,8.0,5,4400.000000000001,4000.0,-400.0000000000009,-9.09090909090911,stop_loss_hit_at_scan,86b16257-84f3-4a1e-8f57-17e0cb8449e0,3b5dbe89-3ac6-41aa-bfe5-f1aeb555569f
AMZN_20260602T104510,AMZN,AMZN260717C00260000,2026-06-02T10:45:10.985069-04:00,2026-06-04T09:51:15.240090-04:00,2026-06-02,2026-06-04,10.9,8.4,4,4360.0,3360.0,-1000.0,-22.93577981651376,stop_loss_hit_at_scan,51d9bebc-535b-4ea4-9169-a36179dc3fd4,7586c794-5b10-4f38-9d64-1fb353016ac2
FTNT_20260603T103337,FTNT,FTNT260717C00155000,2026-06-03T10:33:37.329843-04:00,2026-06-04T14:27:10.599982-04:00,2026-06-03,2026-06-04,6.6,7.4,7,4620.0,5180.0,560.0,12.12121212121212,take_profit_day1_hit_at_scan,3369f409-0b28-4622-8d4b-e3d905377595,c4acb3c8-da26-490f-a538-24f0b6305923
TEAM_20260608T145057,TEAM,TEAM260717C00100000,2026-06-08T14:50:57.199717-04:00,2026-06-09T10:08:13.440030-04:00,2026-06-08,2026-06-09,9.0,8.5,5,4500.0,4250.0,-250.0,-5.555555555555555,stop_loss_hit_at_scan,886b1d78-9340-4645-82bd-379ca3fa12d4,5def2d79-aeb2-402e-b650-b9e670f113fc
PAYX_20260611T145206,PAYX,PAYX260717C00100000,2026-06-11T14:52:06.168178-04:00,2026-06-12T13:34:24.390036-04:00,2026-06-11,2026-06-12,5.5,4.4,9,4950.0,3960.000000000001,-989.9999999999995,-19.99999999999999,stop_loss_hit_at_scan,f2f5ec6e-c1eb-401e-8c79-6f502e6c9759,26d6efc2-49b6-45b1-9428-50c3c8b6999e
ROST_20260615T144908,ROST,ROST260717C00240000,2026-06-15T14:49:08.607566-04:00,2026-06-16T13:04:45.644159-04:00,2026-06-15,2026-06-16,5.6,4.8,8,4480.0,3840.0,-640.0,-14.285714285714285,stop_loss_hit_at_scan,6bbc664d-a6bf-44fa-8544-edd44e63e071,e519b035-9650-4e3a-a9c7-2eeef9070901
DRAM_20260616T145238,DRAM,DRAM260717C00069000,2026-06-16T14:52:38.144559-04:00,2026-06-17T09:34:21.302756-04:00,2026-06-16,2026-06-17,7.6,8.15,6,4560.0,4890.0,330.0,7.236842105263158,stop_loss_hit_at_scan,a72976a4-7eca-4488-99bb-769ca0624c41,ccc64bc0-e407-4afd-90d5-911534676a65
WMT_20260618T145025,WMT,WMT260724C00120000,2026-06-18T14:50:25.955843-04:00,2026-06-23T12:32:24.199539-04:00,2026-06-18,2026-06-23,2.65,3.55,18,4770.0,6390.0,1620.0,33.9622641509434,take_profit_day2_hit_at_scan,ea178de4-eec8-4d51-8e68-6c2517725fe6,bb80252e-df32-475d-9d9d-88fa24b43a2b
MRVL_20260622T145023,MRVL,MRVL260724C00310000,2026-06-22T14:50:23.231779-04:00,2026-06-23T12:32:24.199539-04:00,2026-06-22,2026-06-23,35.45,22.45,1,3545.0000000000005,2245.0,-1300.0000000000005,-36.67136812411849,stop_loss_hit_at_scan,882c58a0-9924-4129-9013-85a7852df07a,119d463d-41ba-443a-8f90-b3d79b4fd75b
AVGO_20260625T145039,AVGO,AVGO260821C00380000,2026-06-25T14:50:39.186626-04:00,2026-06-26T12:00:17.776923-04:00,2026-06-25,2026-06-26,30.2,23.85,1,3020.0,2385.0,-635.0,-21.026490066225165,stop_loss_hit_at_scan,e8b0b225-d191-427e-a058-5bb8a6802577,8d0ee559-8cbc-4245-8150-43bf15aa05cc
